timestamp,power,predicted_power,energy,predicted_energy,price
2022/4/25 00:00,0,0,0,0,4.5
2022/4/25 01:00,0,0,0,0,4.5
2022/4/25 02:00,0,0,0,0,4.5
2022/4/25 03:00,0,0,0,0,4.5
2022/4/25 04:00,0,0,0,0,4.5
2022/4/25 05:00,2.5,3.2,2.5,3.2,4.5
2022/4/25 06:00,3.75,4,3.75,4,4.5
2022/4/25 07:00,7.5,10.4,7.5,10.4,4.5
2022/4/25 08:00,30,33,30,33,4.5
2022/4/25 09:00,70,78,70,78,4.5
2022/4/25 10:00,111.25,101,111.25,101,4.5
2022/4/25 11:00,126.25,110,126.25,110,4.5
2022/4/25 12:00,156.25,145,156.25,145,4.5
2022/4/25 13:00,155,136,155,136,4.5
2022/4/25 14:00,137.5,127,137.5,127,4.5
2022/4/25 15:00,115,120,115,120,4.5
2022/4/25 16:00,96.25,111,96.25,111,4.5
2022/4/25 17:00,66.25,78,66.25,78,4.5
2022/4/25 18:00,40,52,40,52,4.5
2022/4/25 19:00,15,13,15,13,4.5
2022/4/25 20:00,1.25,0,1.25,0,4.5
2022/4/25 21:00,0,0,0,0,4.5
2022/4/25 22:00,0,0,0,0,4.5
2022/4/25 23:00,0,0,0,0,4.5
2022/4/26 00:00,0,0,0,0,4.5
